date,equity_return,bond_3_5_return,bond_10_plus_return
8/31/2012,-0.011348469,0.003704929,0.016044484
9/28/2012,0.012218503,0.004821737,-0.005354393
10/31/2012,-0.021035963,0.011103886,0.005980802
11/30/2012,0.016523476,0.000814676,0.001575219
12/31/2012,0.027472965,0.006036034,0.006943078
1/31/2013,0.027197027,0.003731143,-0.009920342
2/28/2013,8.12E-05,0.005305264,0.001621943
3/29/2013,0.016159707,0.006807664,0.006728438
4/30/2013,0.020073836,0.006735756,0.025576426
5/31/2013,-0.031520772,-0.004465854,-0.004996112
6/28/2013,-0.044260004,-0.02686751,-0.046663496
7/31/2013,0.039384069,0.010353489,-0.007565053
8/30/2013,-0.062910634,0.002235052,0.000678971
9/30/2013,0.048389899,0.008955206,0.030904637
10/31/2013,0.02320544,0.011780435,0.015327503
11/29/2013,-0.005153566,0.000126433,-0.01283407
12/31/2013,-0.00901168,-0.000166339,0.00370867
1/31/2014,-0.05492552,0.00719843,0.018333242
2/28/2014,0.023775972,0.005495211,0.006787992
3/31/2014,0.018269796,0.005287762,0.005535502
4/30/2014,0.027582921,0.008327396,0.005185828
5/30/2014,0.011931943,0.007856712,0.012212164
6/30/2014,-0.007679489,0.008677555,0.005081936
7/31/2014,0.041066482,0.005382735,0.015605897
8/29/2014,-0.021857469,0.00023014,-0.007317796
9/30/2014,-0.019806974,0.003486628,0.00286638
10/31/2014,-0.004995432,0.001047138,-0.000199707
11/28/2014,0.025712692,0.005207671,0.001316678
12/31/2014,0.00780086,0.003460074,-0.000381582
1/30/2015,-0.001264784,0.007263719,0.000898936
2/27/2015,0.004226914,0.003789835,0.007839873
3/31/2015,0.010419119,0.000210439,0.000406549
4/30/2015,0.021288988,0.00489566,0.004802228
5/29/2015,-0.0389585,0.001857058,0.005506008
6/30/2015,-0.015044138,0.00096237,-0.002158381
7/31/2015,-0.039447109,0.004089649,0.003448822
8/31/2015,-0.094947106,-0.000459544,-0.012634199
9/30/2015,-0.03681508,-0.00185388,0.008322307
10/30/2015,0.076745971,0.002997462,0.001411329
11/30/2015,-0.049765808,0.00120745,0.006911792
12/31/2015,0.009811407,0.001563519,-0.00554775
1/29/2016,-0.088015068,0.001319037,-0.034144944
2/29/2016,0.020514872,5.91E-05,0.023596543
3/31/2016,0.068979769,0.013292202,-0.016894688
4/29/2016,-0.005539594,3.00E-05,0.010011043
5/31/2016,-0.026605443,0.003558218,0.010734369
6/30/2016,0.020273946,0.004617747,0.007432084
